idcliente,nomecliente,regiao,datacadastro,endereco,bairro,cidade,estado,cep,tel1,tel2,tel3,tel4,fax,cel1,cel2,cel3,radio,idradio,msn,skipe,contato1,contato2,email,emailnfe,site,obs,cnpj,inscestadual,twitter,transportadora,teltransportadora
4,"ADM COMERCIO DE AUTO PEÇAS LTDA EPP",CARAPICUIBA,2011-09-07,"AV. INOCÊNCIO SERAFICO, 1567","VILA ANA MARIA",CARAPICUIBA,SP,06380-020,(11)4184-3487,(11)4184-1258,(11)4184-1259,,(11)4184-1258,,,,"11-7811 2446",55*30*5518,celinademari@hotmail.com,celinaadm,CELINA,,celina_adm@ig.com.br,,,NULL,01.091.777/0001-71,255.092.752-111,,SIF.,
5,"ALLAN GONÇALVES DOSSO EPP",CATANDUVA,2011-09-09,"RUA PERNANBUCO,532",CENTRO,CATANDUVA,SP,15801-320,(17)3522-8525,(17)3521-8322,(17)3524-2725,,(17)3521-8322,(17)9143-3123,(17)9775-4731,,,,alamopecas@hotmail.com,,MOACIR,ALLAM,alamo.allan@terra.com.br,alamopecas@terra.com.br,,"FINANCEIRO- JULIANA/PAULO TEL - 17 3524 2725",05.685.903/0001-77,260.148.121-118,,"BOSO TRANSTITANIO","11 2631 6000"
6,"ANGLO COMÉRCIO DE AUTO PEÇAS LTDA",Oeste,2011-09-09,"RUA GURUPÁ,385/387","VL ANGLO BRASILEIRA","SÃO PAULO",SP,05027-060,(11)3865-1483,(11)3864-0061,(11)3801-1199,,(11)3801-1199,,,,,,,,FLAVIO,RÉGIS/THIAGO,angloauto@uol.com.br,,,NULL,47.503.842/0001-20,110.554.125-115,,SIF.,
7,"ALMAG COMÉRCIO DE PEÇAS LTDA.",Sul,2011-09-09,"RUA ANTONIO RAMOS ROSA,186-A","PQ.STO. ANTONIO","SÃO PAULO",SP,05822-010,(11)5511-2111,,,,(11)5511-2111,,,,,,,,LUIZ,GERALDO,almagcompras@hotmail.com,,,NULL,04.728.014/0001-87,116.280.931-115,,SIF.,
8,"ANDRÉA C. PEREIRA BATERIAS",ASSIS,2011-09-09,"RUA CAPITÃO ASSIS, 240",CENTRO,ASSIS,SP,19800-060,(18)3302-5261,(18)3323-3222,(18)3322-5823,,(18)3322-5823,(18)9722-6284,(18)9751-1710,,,,,,GISELE,RODRIGO,om.om@uol.com.br,,,"CEL.01= RODRIGO. CEL.02= ONIVALDO. FINANCEIRO. ANDREIA.
EMPRESA O.M.",02.157.076/0001-50,189.076.800-117,,,
9,"DIJO COMERCIO DE AUTO PEÇAS LTDA","S. JOSÉ RIO PRETO",2011-09-09,"AV. NOSSA SENHORA DA PAZ,455",,"SÃO JOSÉ DO RIO PRETO",SP,15054-400,(17)3224-5020,,,,(17)3224-5020,,,,,,,,LURDES,,djcompras@terra.com.br,,,NULL,43.157.858/0001-77,647.088.275-112,,TRANSREAL,"11 3832 8620"
10,"A.R. GUERRA & CIA LTDA.",PEDERNEIRAS,2011-09-09,"RUA PROFESSOR ANTONIO VOLPONI, 0-172",CENTRO,PEDERNEIRAS,SP,17280-000,(14)3284-1993,,,,(14)3284-1993,,,,,,,,JUNIOR,GUERRA,compras@guerra.com.br,,,NULL,03.965.906/0001-39,515.073.634-117,,"ALTA ZONA DA MATA",
11,"A.T.N. COMÉRCIO E RESTAURAÇÃO DE PEÇAS LTDA-ME",Sul,2011-09-09,"RUA JULIO CESAR MOREIRA, 1151",,"SÃO PAULO",SP,08310-160,(11)2754-2543,(11)2754-2904,,,(11)2754-2904,,,,,,,,OTAVIO,SÉRGIO,atn_atn@hotmail.com,,,NULL,"  .   .   /    -",113.843.304-111,,SIF,
12,"DISTRIBUIDORA DE AUTO PEÇAS SETE LTDA",Norte,2011-09-09,"RUA RELIQUIA,48","CASA VERDE","SÃO PAULO",SP,02517-000,(11)3855-2341,(11)3855-2345,(11)3966-3962,,(11)3966-3962,,,,,,,,"JOÃO CARLOS",LEONOR,contato@distribuidorasete.com.br,,,NULL,"  .   .   /    -",109.206.057-112,,SIF.,
13,"AUTO PEÇAS MANFRIM LTDA",SUMARÉ,2011-09-09,"RUA TURIBIO ESPERIDIÃO DA SILVA,145","VIRGILIO VIEL",SUMARÉ,SP,13175-610,(19)3883-1986,,,,(19)3883-1986,(19)9127-3179,,,,,,,FABIANA,ADALTON,distribuidoramanfrim@uol.com.br,biamanfrim@yahoo.com.br,,NULL,03.755.788/0001-34,671.092.998-110,,JAMEF,
